Date,Suburb,Postcode,Distance from CBD (km),Offence Level 1 Description,Offence Count
2022-07-01,ADELAIDE,5000,0.0,OFFENCES AGAINST PROPERTY,15
2022-07-01,ADELAIDE,5000,0.0,OFFENCES AGAINST THE PERSON,1
2022-07-01,ADELAIDE AIRPORT,5950,7.2,OFFENCES AGAINST PROPERTY,2
2022-07-01,ALDGATE,5154,15.02,OFFENCES AGAINST PROPERTY,1
2022-07-01,ALDINGA BEACH,5173,41.24,OFFENCES AGAINST PROPERTY,1
2022-07-01,ANDREWS FARM,5114,27.72,OFFENCES AGAINST PROPERTY,2
2022-07-01,BLAIR ATHOL,5084,8.49,OFFENCES AGAINST PROPERTY,1
2022-07-01,BLAIR ATHOL,5084,8.49,OFFENCES AGAINST THE PERSON,1
2022-07-01,BLAKEVIEW,5114,27.72,OFFENCES AGAINST THE PERSON,2
2022-07-01,BOWDEN,5007,5.32,OFFENCES AGAINST PROPERTY,1
2022-07-01,BRIDGEWATER,5155,16.32,OFFENCES AGAINST THE PERSON,1
2022-07-01,BRIGHTON,5048,11.98,OFFENCES AGAINST PROPERTY,1
2022-07-01,BROMPTON,5007,5.32,OFFENCES AGAINST PROPERTY,1
2022-07-01,BROOKLYN PARK,5032,5.86,OFFENCES AGAINST PROPERTY,1
2022-07-01,BURTON,5110,24.27,OFFENCES AGAINST PROPERTY,1
2022-07-01,BURTON,5110,24.27,OFFENCES AGAINST THE PERSON,1
2022-07-01,CHRISTIE DOWNS,5164,23.05,OFFENCES AGAINST PROPERTY,1
2022-07-01,CHRISTIES BEACH,5165,25.34,OFFENCES AGAINST PROPERTY,3
2022-07-01,CHRISTIES BEACH,5165,25.34,OFFENCES AGAINST THE PERSON,3
2022-07-01,COWANDILLA,5033,4.579999999999999,OFFENCES AGAINST THE PERSON,2
2022-07-01,CRAIGMORE,5114,27.72,OFFENCES AGAINST PROPERTY,1
2022-07-01,CROYDON PARK,5008,7.14,OFFENCES AGAINST PROPERTY,1
2022-07-01,CUMBERLAND PARK,5041,7.4,OFFENCES AGAINST PROPERTY,1
2022-07-01,DAVOREN PARK,5113,26.754444444444445,OFFENCES AGAINST PROPERTY,1
2022-07-01,DIREK,5110,24.27,OFFENCES AGAINST PROPERTY,2
2022-07-01,EDWARDSTOWN,5039,5.53,OFFENCES AGAINST PROPERTY,2
2022-07-01,EDWARDSTOWN,5039,5.53,OFFENCES AGAINST THE PERSON,2
2022-07-01,ELIZABETH,5112,24.08,OFFENCES AGAINST PROPERTY,3
2022-07-01,ELIZABETH,5112,24.08,OFFENCES AGAINST THE PERSON,1
2022-07-01,ELIZABETH DOWNS,5113,26.754444444444445,OFFENCES AGAINST PROPERTY,1
2022-07-01,ELIZABETH GROVE,5112,24.08,OFFENCES AGAINST PROPERTY,1
2022-07-01,ELIZABETH NORTH,5113,26.754444444444445,OFFENCES AGAINST PROPERTY,2
2022-07-01,ELIZABETH PARK,5113,26.754444444444445,OFFENCES AGAINST PROPERTY,1
2022-07-01,ELIZABETH VALE,5112,24.08,OFFENCES AGAINST PROPERTY,5
